time,pair,direction,entry,sl,tp,risk_pct,volume,risk_amt,result,exit_price,exit_time,bars_held,pnl,balance,reason,score,_bar_idx
2010-10-01 00:00:00,XAU/USD,BUY,1295.7,1270.5,1319.903363,1.0,0.01,100.0,win,1319.903363,2010-10-01 00:00:00,5,96.05,10096.05,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,158
2024-07-19 12:00:00,XAU/USD,BUY,2416.2,2401.42,2445.11899,1.0,0.02,87.89,loss,2401.42,2024-07-19 12:00:00,1,-87.89,8700.75,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,858
2024-07-22 12:00:00,XAU/USD,BUY,2406.46,2393.88,2433.74764,1.0,0.02,87.01,loss,2393.88,2024-07-22 12:00:00,3,-87.01,8613.74,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,864
2024-07-23 04:00:00,XAU/USD,BUY,2401.16,2391.52,2424.674758,1.0,0.02,86.14,loss,2391.52,2024-07-23 04:00:00,1,-86.14,8527.6,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,868
2024-08-20 12:00:00,XAU/USD,BUY,2494.73,2458.56,2530.9,1.0,0.01,85.28,win,2530.9,2024-08-20 12:00:00,12,85.28,8612.88,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,990
2024-08-21 16:00:00,XAU/USD,BUY,2516.9,2497.37,2550.101,1.0,0.01,86.13,loss,2497.37,2024-08-21 16:00:00,4,-86.13,8526.75,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,997
2024-08-22 12:00:00,XAU/USD,BUY,2505.58,2493.9,2525.436,1.0,0.02,85.27,loss,2493.9,2024-08-22 12:00:00,2,-85.27,8441.48,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,1002
2024-08-26 08:00:00,XAU/USD,BUY,2490.88,2470.9,2524.846,1.0,0.01,84.41,win,2524.846,2024-08-26 08:00:00,8,143.5,8584.97,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,1013
2024-08-26 08:00:00,XAU/USD,BUY,2510.92,2497.37,2533.955,1.0,0.02,84.41,be,2510.92,2024-08-26 08:00:00,4,0.0,8584.97,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,1013
2024-08-28 12:00:00,XAU/USD,BUY,2518.06,2497.37,2553.233,2.0,0.02,171.7,loss,2497.37,2024-08-28 12:00:00,10,-171.7,8413.27,Полный сетап (3/4): D1=Y | H4=Y | COT=Y | Trend=?,3,1026
2024-08-29 08:00:00,XAU/USD,BUY,2513.26,2503.58,2522.94,1.0,0.02,84.13,win,2522.94,2024-08-29 08:00:00,2,84.13,8497.4,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,1031
2024-08-30 16:00:00,XAU/USD,BUY,2521.25,2503.7,2538.8,1.0,0.01,84.97,loss,2503.7,2024-08-30 16:00:00,5,-84.97,8412.43,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,1039
2024-09-05 12:00:00,XAU/USD,BUY,2496.59,2470.9,2522.28,1.0,0.01,84.12,win,2522.28,2024-09-05 12:00:00,20,84.12,8496.55,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,1062
2024-10-01 12:00:00,XAU/USD,BUY,2635.79,2622.7,2663.420553,1.0,0.02,84.97,win,2663.420553,2024-10-01 12:00:00,6,179.36,8675.91,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,1170
2024-10-01 16:00:00,XAU/USD,BUY,2668.19,2654.87,2695.135343,1.0,0.02,86.76,loss,2654.87,2024-10-01 16:00:00,1,-86.76,8589.15,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,1171
2024-10-02 04:00:00,XAU/USD,BUY,2662.52,2649.81,2691.005156,1.0,0.02,85.89,loss,2649.81,2024-10-02 04:00:00,3,-85.89,8503.26,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,1174
2024-10-08 16:00:00,XAU/USD,BUY,2621.53,2575.29,2700.138,1.0,0.01,84.97,be,2621.53,2024-10-08 16:00:00,71,0.0,8503.26,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,1201
2024-10-08 16:00:00,XAU/USD,BUY,2648.15,2624.79,2674.323194,2.0,0.02,170.07,loss,2624.79,2024-10-08 16:00:00,27,-170.07,8333.19,Полный сетап (3/4): D1=Y | H4=Y | COT=Y | Trend=?,3,1201
2024-10-23 08:00:00,XAU/USD,BUY,2734.62,2673.24,2755.063384,2.0,0.01,166.66,win,2755.063384,2024-10-23 08:00:00,12,55.51,8388.7,Полный сетап (3/4): D1=N | H4=Y | COT=Y | Trend=Y,3,1265
2024-10-24 12:00:00,XAU/USD,BUY,2715.49,2673.24,2742.914903,2.0,0.01,167.77,win,2742.914903,2024-10-24 12:00:00,4,108.9,8497.6,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1272
2024-10-28 12:00:00,XAU/USD,BUY,2730.12,2714.27,2752.262122,2.0,0.03,169.95,be,2730.12,2024-10-28 12:00:00,10,0.0,8497.6,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1285
2024-10-30 00:00:00,XAU/USD,BUY,2753.08,2724.78,2776.745881,2.0,0.02,169.95,win,2776.745881,2024-10-30 00:00:00,6,142.12,8639.72,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1294
2024-10-31 12:00:00,XAU/USD,BUY,2780.39,2746.31,2804.222917,2.0,0.01,172.79,loss,2746.31,2024-10-31 12:00:00,6,-172.79,8466.93,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1303
2024-11-05 00:00:00,XAU/USD,BUY,2748.85,2731.68,2775.482768,2.0,0.03,169.34,loss,2731.68,2024-11-05 00:00:00,12,-169.34,8297.59,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1318
2024-11-06 04:00:00,XAU/USD,BUY,2746.96,2731.68,2770.451384,2.0,0.03,165.95,loss,2731.68,2024-11-06 04:00:00,4,-165.95,8131.64,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1325
2024-11-28 00:00:00,XAU/USD,BUY,2631.45,2605.35,2674.409767,2.0,0.02,162.63,be,2631.45,2024-11-28 00:00:00,10,0.0,8131.64,Полный сетап (3/4): D1=N | H4=Y | COT=Y | Trend=Y,3,1420
