time,pair,direction,entry,sl,tp,risk_pct,volume,risk_amt,result,exit_price,exit_time,bars_held,pnl,balance,reason,score,_bar_idx
2010-10-01 00:00:00,XAU/USD,BUY,1295.7,1270.5,1319.903363,1.0,0.01,100.0,win,1319.903363,2010-10-01 00:00:00,5,96.05,10096.05,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,158
2024-10-31 00:00:00,USD/JPY,BUY,152.897,149.088,153.626802,2.0,0.02,213.3,win,153.626802,2024-10-31 00:00:00,4,40.87,10705.9,Полный сетап (4/4): D1=Y | H4=Y | COT=Y | Trend=Y,4,1346
2024-10-31 00:00:00,USD/JPY,BUY,153.303,149.088,153.99079,2.0,0.02,213.3,be,153.303,2024-10-31 00:00:00,1,0.0,10705.9,Полный сетап (4/4): D1=Y | H4=Y | COT=Y | Trend=Y,4,1346
2024-10-31 16:00:00,USD/JPY,BUY,152.587,150.607,153.472095,2.0,0.05,214.12,be,152.587,2024-10-31 16:00:00,1,0.0,10705.9,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1350
2024-11-04 00:00:00,USD/JPY,BUY,152.398,150.607,153.226526,2.0,0.05,214.12,be,152.398,2024-11-04 00:00:00,6,0.0,10705.9,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1359
2024-11-05 12:00:00,USD/JPY,BUY,151.823,151.453,152.672052,2.0,0.25,214.12,be,151.823,2024-11-05 12:00:00,6,0.0,10705.9,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1368
2024-11-07 08:00:00,USD/JPY,BUY,154.051,151.536,155.245623,2.0,0.04,214.12,be,154.051,2024-11-07 08:00:00,8,0.0,10705.9,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1379
2024-11-11 12:00:00,USD/JPY,BUY,152.941,151.286,153.947933,2.0,0.06,214.12,win,153.947933,2024-11-11 12:00:00,11,130.27,10836.18,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1393
2024-11-20 04:00:00,USD/JPY,BUY,154.512,152.142,155.447812,2.0,0.04,216.72,win,155.447812,2024-11-20 04:00:00,6,85.57,10921.75,Полный сетап (3/4): D1=N | H4=Y | COT=Y | Trend=Y,3,1434
2024-12-18 20:00:00,USD/JPY,BUY,153.843,149.692,154.496248,2.0,0.02,218.43,win,154.496248,2024-12-18 20:00:00,9,34.37,10956.12,Полный сетап (3/4): D1=N | H4=Y | COT=Y | Trend=Y,3,1562
2024-12-20 08:00:00,USD/JPY,BUY,156.954,153.325,157.998378,2.0,0.03,219.12,be,156.954,2024-12-20 08:00:00,6,0.0,10956.12,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1571
2024-12-24 00:00:00,USD/JPY,BUY,156.437,153.325,157.388391,2.0,0.03,219.12,win,157.388391,2024-12-24 00:00:00,8,66.99,11023.11,Полный сетап (4/4): D1=Y | H4=Y | COT=Y | Trend=Y,4,1582
2024-12-24 16:00:00,USD/JPY,BUY,157.279,153.325,157.790946,2.0,0.02,220.46,be,157.279,2024-12-24 16:00:00,1,0.0,11023.11,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1586
2024-12-26 08:00:00,USD/JPY,BUY,157.423,153.325,157.866321,2.0,0.02,220.46,be,157.423,2024-12-26 08:00:00,2,0.0,11023.11,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1591
2024-12-27 00:00:00,USD/JPY,BUY,157.893,153.161,158.295226,2.0,0.02,220.46,be,157.893,2024-12-27 00:00:00,1,0.0,11023.11,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1595
2024-12-30 12:00:00,USD/JPY,BUY,157.816,153.161,158.239302,2.0,0.02,220.46,be,157.816,2024-12-30 12:00:00,7,0.0,11023.11,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1605
2024-12-31 00:00:00,USD/JPY,BUY,156.393,155.955,157.023771,2.0,0.22,220.46,open,156.393,2024-12-31 00:00:00,0,0.0,11023.11,Полный сетап (4/4): D1=Y | H4=Y | COT=Y | Trend=Y,4,1608
2025-02-10 00:00:00,XAU/USD,BUY,2876.87,2834.32,2908.011868,1.0,0.01,100.0,be,2876.87,2025-02-10 00:00:00,3,0.0,10000.0,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,162
2025-02-11 00:00:00,XAU/USD,BUY,2908.72,2852.61,2942.428495,1.0,0.01,100.0,win,2942.428495,2025-02-11 00:00:00,3,60.08,10060.08,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,168
2025-02-13 00:00:00,XAU/USD,BUY,2905.96,2852.61,2943.177453,1.0,0.01,100.6,be,2905.96,2025-02-13 00:00:00,8,0.0,10060.08,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,180
2025-02-13 16:00:00,XAU/USD,BUY,2915.13,2881.73,2946.920859,1.0,0.01,100.6,be,2915.13,2025-02-13 16:00:00,1,0.0,10060.08,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,184
2025-02-14 16:00:00,XAU/USD,BUY,2934.26,2906.07,2960.863443,1.0,0.01,100.6,be,2934.26,2025-02-14 16:00:00,3,0.0,10060.08,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,190
2025-02-25 12:00:00,XAU/USD,BUY,2937.54,2924.13,2965.092102,1.0,0.02,100.6,be,2937.54,2025-02-25 12:00:00,1,0.0,10060.08,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,231
2025-02-26 12:00:00,XAU/USD,BUY,2921.21,2892.08,2956.753603,1.0,0.01,100.6,loss,2892.08,2025-02-26 12:00:00,3,-100.6,9959.48,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,237
2025-03-12 00:00:00,XAU/USD,BUY,2914.25,2902.11,2945.06607,1.0,0.02,99.59,be,2914.25,2025-03-12 00:00:00,3,0.0,9959.48,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,295
2025-03-13 08:00:00,XAU/USD,BUY,2922.02,2902.11,2948.762099,1.0,0.01,99.59,win,2948.762099,2025-03-13 08:00:00,5,133.76,10093.24,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,303
2025-03-19 12:00:00,XAU/USD,BUY,3042.22,2982.34,3064.392145,1.0,0.01,100.93,be,3042.22,2025-03-19 12:00:00,2,0.0,10093.24,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,329
2025-03-20 12:00:00,XAU/USD,BUY,3045.78,3022.87,3072.124891,1.0,0.01,100.93,be,3045.78,2025-03-20 12:00:00,3,0.0,10093.24,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,335
2025-03-21 04:00:00,XAU/USD,BUY,3034.87,3022.87,3059.971721,2.0,0.05,201.86,loss,3022.87,2025-03-21 04:00:00,1,-201.86,9891.38,Полный сетап (3/4): D1=Y | H4=Y | COT=Y | Trend=?,3,339
2025-03-21 20:00:00,XAU/USD,BUY,3017.51,2982.34,3047.50293,2.0,0.02,197.83,be,3017.51,2025-03-21 20:00:00,1,0.0,9891.38,Полный сетап (3/4): D1=Y | H4=Y | COT=Y | Trend=?,3,343
2025-03-24 16:00:00,XAU/USD,BUY,3025.07,2999.46,3049.707748,2.0,0.02,197.83,be,3025.07,2025-03-24 16:00:00,3,0.0,9891.38,Полный сетап (3/4): D1=Y | H4=Y | COT=Y | Trend=?,3,349
2025-03-25 20:00:00,XAU/USD,BUY,3017.87,3002.43,3042.3264,1.0,0.02,98.91,be,3017.87,2025-03-25 20:00:00,4,0.0,9891.38,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,356
2025-03-26 16:00:00,XAU/USD,BUY,3023.34,3013.81,3048.227136,1.0,0.03,98.91,be,3023.34,2025-03-26 16:00:00,2,0.0,9891.38,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,361
2025-03-27 08:00:00,XAU/USD,BUY,3030.27,3013.81,3054.105988,1.0,0.02,98.91,win,3054.105988,2025-03-27 08:00:00,1,143.23,10034.61,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,365
2025-03-28 00:00:00,XAU/USD,BUY,3055.19,3025.87,3081.938384,1.0,0.01,100.35,be,3055.19,2025-03-28 00:00:00,1,0.0,10034.61,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,369
2025-03-31 04:00:00,XAU/USD,BUY,3070.35,3025.87,3102.201536,1.0,0.01,100.35,win,3102.201536,2025-03-31 04:00:00,4,71.86,10106.47,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,376
2025-03-31 08:00:00,XAU/USD,BUY,3094.9,3025.87,3126.500432,1.0,0.01,100.35,win,3126.500432,2025-03-31 08:00:00,2,45.94,10152.41,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,377
2025-04-01 00:00:00,XAU/USD,BUY,3124.04,3025.87,3157.180394,1.0,0.01,101.52,be,3124.04,2025-04-01 00:00:00,1,0.0,10152.41,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,381
2025-04-01 16:00:00,XAU/USD,BUY,3133.8,3013.81,3165.608185,1.0,0.01,101.52,be,3133.8,2025-04-01 16:00:00,1,0.0,10152.41,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,385
2025-04-02 12:00:00,XAU/USD,BUY,3118.02,3100.96,3156.9869,1.0,0.02,101.52,be,3118.02,2025-04-02 12:00:00,2,0.0,10152.41,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,390
2025-04-03 08:00:00,XAU/USD,BUY,3153.55,3100.96,3203.493568,1.0,0.01,101.52,be,3153.55,2025-04-03 08:00:00,2,0.0,10152.41,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,395
2025-04-04 00:00:00,XAU/USD,BUY,3114.16,3054.29,3176.363996,1.0,0.01,101.52,be,3114.16,2025-04-04 00:00:00,1,0.0,10152.41,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,399
2025-04-04 20:00:00,XAU/USD,BUY,3061.96,3013.34,3131.909285,2.0,0.01,203.05,be,3061.96,2025-04-04 20:00:00,2,0.0,10152.41,Полный сетап (3/4): D1=Y | H4=Y | COT=Y | Trend=?,3,404
